Read_Name	Origin_Gene	Mapped_Gene
Read67846	PKD1P6	PKD1P6
Read36836	PKD1P6	PKD1P6
Read11690	PKD1P6	PKD1P6
Read53285	PKD1P6	PKD1P5
Read12596	PKD1P3	PKD1P3
Read26119	PKD1P6	PKD1P6
Read69538	PKD1P6	PKD1P6
Read34075	PKD1P6	PKD1P6
Read38829	PKD1P3	PKD1P3
Read81990	PKD1	PKD1
Read56078	PKD1P6	PKD1P6
Read52029	PKD1P4	PKD1P4
Read11553	PKD1	PKD1
Read70250	PKD1	PKD1
Read81615	PKD1P2	PKD1P2
Read60773	PKD1P3	PKD1P3
Read50122	PKD1P5	PKD1P5
Read90072	PKD1	PKD1
Read79411	PKD1	PKD1
Read45356	PKD1P6	PKD1P6
Read38281	PKD1	PKD1
Read46856	PKD1	PKD1
Read58074	PKD1P2	PKD1P2
Read76715	PKD1P4	PKD1P4
Read3266	PKD1P2	PKD1P2
Read22370	PKD1P5	PKD1P5
Read55561	PKD1P5	PKD1P5
Read72689	PKD1P6	PKD1P6
Read15451	PKD1P4	PKD1P4
Read95290	PKD1P4	PKD1P4
Read1076	PKD1P6	PKD1P6
Read42546	PKD1P2	PKD1P2
Read91879	PKD1P5	PKD1P5
Read67645	PKD1	PKD1
Read29398	PKD1P6	PKD1P6
Read21425	PKD1P6	PKD1P6
Read55210	PKD1P6	PKD1P6
Read89202	PKD1P3	PKD1P3
Read2775	PKD1P5	PKD1P5
Read82119	PKD1P5	PKD1P5
Read20486	PKD1P2	PKD1P2
Read23078	PKD1	PKD1
Read62635	PKD1P6	PKD1P6
Read85400	PKD1	PKD1
Read90465	PKD1P6	PKD1P6
Read3339	PKD1P1	PKD1P1
Read69768	PKD1P6	PKD1P6
Read31577	PKD1P6	PKD1P6
Read52632	PKD1P4	PKD1P4
Read63286	PKD1P1	PKD1P1
Read21629	PKD1P6	PKD1P6
Read34357	PKD1P2	PKD1P2
Read59771	PKD1	PKD1
Read68897	PKD1	PKD1
Read25467	PKD1P5	PKD1P5
Read41805	PKD1P5	PKD1P1
