Read_Name	Origin_Gene	Mapped_Gene
Read0	PKD1P1	PKD1P1
Read3	PKD1	PKD1
Read4	PKD1P5	PKD1P5
Read8	PKD1P6	PKD1P6
Read14	PKD1P6	PKD1P6
Read17	PKD1P6	PKD1P6
Read18	PKD1P6	PKD1P6
Read21	PKD1P6	PKD1P6
Read24	PKD1	PKD1
Read26	PKD1	PKD1
Read28	PKD1P6	PKD1P6
Read31	PKD1	PKD1
Read36	PKD1	PKD1
Read37	PKD1P5	PKD1P5
Read41	PKD1P5	PKD1P5
Read43	PKD1P1	PKD1P1
Read45	PKD1P6	PKD1P6
Read50	PKD1	PKD1
Read51	PKD1P6	PKD1P6
Read59	PKD1P1	PKD1P1
Read60	PKD1P6	PKD1P6
Read63	PKD1P1	PKD1P1
Read69	PKD1	PKD1
Read70	PKD1	PKD1
Read71	PKD1	PKD1
Read76	PKD1P6	PKD1P6
Read80	PKD1P6	PKD1P6
Read81	PKD1P2	PKD1P2
Read85	PKD1	PKD1
Read89	PKD1	PKD1
Read93	PKD1P5	PKD1P5
Read95	PKD1P4	PKD1P4
Read98	PKD1P6	PKD1P6
Read100	PKD1	PKD1
Read103	PKD1P3	PKD1P3
Read104	PKD1P5	PKD1P5
Read107	PKD1	PKD1
Read110	PKD1P6	PKD1P6
Read117	PKD1P4	PKD1P4
Read120	PKD1	PKD1
Read123	PKD1	PKD1
Read124	PKD1P5	PKD1P5
Read126	PKD1	PKD1
Read129	PKD1P1	PKD1P1
Read130	PKD1P5	PKD1P5
Read131	PKD1	PKD1
Read137	PKD1P4	PKD1P4
Read141	PKD1P6	PKD1P6
Read145	PKD1P6	PKD1P6
Read152	PKD1P6	PKD1P6
Read159	PKD1P6	PKD1P6
Read160	PKD1	PKD1
Read163	PKD1	PKD1
Read164	PKD1	PKD1
Read165	PKD1P6	PKD1P6
Read166	PKD1P6	PKD1P6
Read169	PKD1	PKD1
Read171	PKD1	PKD1
Read172	PKD1	PKD1
Read173	PKD1	PKD1
Read174	PKD1P6	PKD1P6
Read182	PKD1P6	PKD1P6
Read185	PKD1P6	PKD1P6
Read189	PKD1	PKD1
Read191	PKD1P2	PKD1P2
Read193	PKD1P6	PKD1P6
Read194	PKD1P5	PKD1P5
Read195	PKD1P4	PKD1P4
Read197	PKD1P6	PKD1P6
Read198	PKD1	PKD1
Read205	PKD1P2	PKD1P2
Read208	PKD1	PKD1
Read210	PKD1P3	PKD1P3
Read212	PKD1P6	PKD1P6
Read213	PKD1P6	PKD1P6
Read215	PKD1P4	PKD1P4
Read217	PKD1P3	PKD1P3
Read218	PKD1P6	PKD1P6
Read219	PKD1	PKD1
Read228	PKD1	PKD1
Read230	PKD1P3	PKD1P3
Read231	PKD1P2	PKD1P2
Read232	PKD1P5	PKD1P5
Read233	PKD1P4	PKD1P4
Read235	PKD1	PKD1
Read237	PKD1	PKD1
Read241	PKD1P2	PKD1P2
Read242	PKD1	PKD1
Read245	PKD1P6	PKD1P6
Read246	PKD1P6	PKD1P6
Read250	PKD1P5	PKD1P5
Read251	PKD1	PKD1
Read252	PKD1	PKD1
Read254	PKD1P3	PKD1P3
Read255	PKD1P1	PKD1P1
Read260	PKD1	PKD1
Read261	PKD1P5	PKD1P5
Read266	PKD1	PKD1
Read269	PKD1P6	PKD1P6
Read272	PKD1	PKD1
Read273	PKD1	PKD1
Read274	PKD1	PKD1
Read276	PKD1P5	PKD1P5
Read283	PKD1P2	PKD1P2
Read284	PKD1	PKD1
Read285	PKD1P4	PKD1P4
Read287	PKD1P4	PKD1P4
Read288	PKD1	PKD1
Read291	PKD1	PKD1
Read297	PKD1P6	PKD1P6
Read302	PKD1P5	PKD1P5
Read304	PKD1P6	PKD1P6
Read310	PKD1P3	PKD1P3
Read311	PKD1	PKD1
Read314	PKD1P6	PKD1P6
Read316	PKD1	PKD1
Read317	PKD1P6	PKD1P6
Read318	PKD1	PKD1
Read320	PKD1P6	PKD1P6
Read323	PKD1P6	PKD1P6
Read324	PKD1	PKD1
Read325	PKD1P3	PKD1P3
Read328	PKD1	PKD1
Read330	PKD1P5	PKD1P5
Read333	PKD1	PKD1
Read335	PKD1P6	PKD1P6
Read336	PKD1P3	PKD1P3
Read339	PKD1P3	PKD1P3
Read340	PKD1P3	PKD1P3
Read344	PKD1P6	PKD1P6
Read350	PKD1P6	PKD1P6
Read353	PKD1	PKD1
Read354	PKD1P6	PKD1P6
Read356	PKD1P4	PKD1P4
Read362	PKD1P2	PKD1P2
Read364	PKD1P6	PKD1P6
Read366	PKD1P6	PKD1P6
Read376	PKD1P4	PKD1P4
Read378	PKD1	PKD1
Read381	PKD1P5	PKD1P5
Read384	PKD1	PKD1
Read387	PKD1P6	PKD1P6
Read388	PKD1P6	PKD1P6
Read395	PKD1	PKD1
Read399	PKD1P6	PKD1P6
Read401	PKD1P2	PKD1P2
Read403	PKD1P6	PKD1P6
Read405	PKD1	PKD1
Read406	PKD1	PKD1
Read411	PKD1	PKD1
Read412	PKD1	PKD1
Read416	PKD1	PKD1
Read420	PKD1	PKD1
Read421	PKD1	PKD1
Read423	PKD1P6	PKD1P6
Read424	PKD1P2	PKD1P2
Read426	PKD1P5	PKD1P5
Read427	PKD1P5	PKD1P5
Read429	PKD1	PKD1
Read432	PKD1P6	PKD1P6
Read435	PKD1	PKD1
Read441	PKD1P2	PKD1P2
Read443	PKD1P3	PKD1P3
Read448	PKD1	PKD1
Read449	PKD1P6	PKD1P6
Read450	PKD1P6	PKD1P6
Read451	PKD1	PKD1
Read453	PKD1P1	PKD1P1
Read456	PKD1P4	PKD1P1
Read458	PKD1	PKD1
Read459	PKD1	PKD1
Read462	PKD1P4	PKD1P4
Read463	PKD1	PKD1
Read466	PKD1P2	PKD1P2
Read468	PKD1P6	PKD1P6
Read469	PKD1P1	PKD1P1
Read470	PKD1P4	PKD1P4
Read471	PKD1P2	PKD1P2
Read472	PKD1P3	PKD1P3
Read475	PKD1	PKD1
Read476	PKD1P2	PKD1P2
Read481	PKD1P5	PKD1P5
Read482	PKD1P6	PKD1P6
Read484	PKD1P2	PKD1P2
Read487	PKD1P3	PKD1P3
Read488	PKD1P5	PKD1P5
Read492	PKD1P6	PKD1P6
Read494	PKD1	PKD1
Read496	PKD1P2	PKD1P2
Read498	PKD1P3	PKD1P3
Read499	PKD1	PKD1
Read502	PKD1P3	PKD1P3
Read503	PKD1P2	PKD1P2
Read504	PKD1P2	PKD1P2
Read505	PKD1P3	PKD1P3
Read507	PKD1P4	PKD1P4
Read509	PKD1P2	PKD1P2
Read511	PKD1P6	PKD1P6
Read513	PKD1P6	PKD1P6
Read514	PKD1P1	PKD1P1
Read516	PKD1P5	PKD1P5
Read517	PKD1	PKD1
Read520	PKD1P2	PKD1P2
Read521	PKD1	PKD1
Read524	PKD1	PKD1
Read526	PKD1P5	PKD1P5
Read529	PKD1	PKD1
Read531	PKD1P2	PKD1P2
Read532	PKD1P6	PKD1P6
Read536	PKD1P3	PKD1P3
Read537	PKD1P6	PKD1P6
Read538	PKD1P2	PKD1P2
Read540	PKD1P4	PKD1P4
Read542	PKD1	PKD1
Read543	PKD1P6	PKD1P6
Read551	PKD1P6	PKD1P6
Read555	PKD1P2	PKD1P2
Read561	PKD1	PKD1
Read563	PKD1P4	PKD1P4
Read565	PKD1P6	PKD1P6
Read567	PKD1	PKD1
Read569	PKD1	PKD1
Read574	PKD1P4	PKD1P4
Read575	PKD1	PKD1
Read578	PKD1P6	PKD1P6
Read584	PKD1	PKD1
Read590	PKD1P6	PKD1P6
Read596	PKD1	PKD1
