Read_Name	Origin_Gene	Mapped_Gene
Read1040	PKD1P4	PKD1P4
Read48559	PKD1P6	PKD1P6
Read36539	PKD1P5	PKD1P1
Read27155	PKD1	PKD1
Read30954	PKD1P3	PKD1P1
Read28919	PKD1P1	PKD1P1
Read39007	PKD1P1	PKD1P3
Read91631	PKD1P6	PKD1P6
Read14906	PKD1P3	PKD1P2
Read24695	PKD1P2	PKD1P2
Read70378	PKD1P1	PKD1P1
Read39680	PKD1P6	PKD1P1
Read51807	PKD1P3	PKD1P3
Read74579	PKD1P5	PKD1P5
Read10592	PKD1P6	PKD1P6
Read70930	PKD1P4	PKD1P3
Read30214	PKD1P6	PKD1P6
Read86246	PKD1P5	PKD1P5
Read46802	PKD1	PKD1
Read61263	PKD1P2	PKD1P4
Read57717	PKD1P2	PKD1P2
Read95943	PKD1P5	PKD1P5
Read28310	PKD1P2	PKD1P5
Read21195	PKD1P3	PKD1P5
Read5372	PKD1P4	PKD1P4
Read82986	PKD1	PKD1
Read75644	PKD1P5	PKD1P3
Read19498	PKD1P2	PKD1P1
Read4752	PKD1P1	PKD1P1
Read53402	PKD1P5	PKD1P5
Read75353	PKD1P1	PKD1P2
Read51077	PKD1P1	PKD1P3
Read4477	PKD1P6	PKD1P6
Read30587	PKD1P6	PKD1P6
Read41201	PKD1P5	PKD1P5
Read64221	PKD1	PKD1
Read53932	PKD1P2	PKD1P5
Read69299	PKD1	PKD1
Read49262	PKD1P3	PKD1P3
Read87192	PKD1P3	PKD1P3
Read20970	PKD1P4	PKD1P5
Read90535	PKD1	PKD1
Read47900	PKD1P3	PKD1P3
Read1993	PKD1P1	PKD1P1
Read71001	PKD1P3	PKD1P2
Read70330	PKD1P3	PKD1P1
Read61203	PKD1P1	PKD1P3
Read19073	PKD1	PKD1
Read42278	PKD1P1	PKD1P1
Read70857	PKD1P2	PKD1P2
Read28240	PKD1P3	PKD1P1
Read58388	PKD1P6	PKD1P3
Read73084	PKD1P1	PKD1P3
Read47829	PKD1	PKD1
Read53770	PKD1P4	PKD1P2
Read65546	PKD1P3	PKD1P5
Read99973	PKD1P4	PKD1P6
Read3535	PKD1P2	PKD1P5
Read81728	PKD1P2	PKD1P4
Read66981	PKD1	PKD1
Read72277	PKD1P5	PKD1P2
Read70367	PKD1P1	PKD1P4
Read65938	PKD1P2	PKD1P5
Read94912	PKD1P2	PKD1P2
Read66534	PKD1P2	PKD1P2
Read25496	PKD1P6	PKD1P6
Read52944	PKD1P5	PKD1P5
Read9154	PKD1P6	PKD1P6
Read29459	PKD1P6	PKD1P6
Read93537	PKD1P5	PKD1P5
Read73442	PKD1P5	PKD1P5
Read73094	PKD1P3	PKD1P3
Read656	PKD1P2	PKD1P2
Read21597	PKD1	PKD1
Read75752	PKD1P6	PKD1P6
Read24681	PKD1P6	PKD1P6
Read29647	PKD1P3	PKD1P1
Read68376	PKD1P6	PKD1P6
Read61472	PKD1P1	PKD1P3
Read36867	PKD1P4	PKD1P4
