Read_Name	Origin_Gene	Mapped_Gene
Read0	PKD1P3	PKD1P3
Read1	PKD1P4	NONE
Read2	PKD1P2	PKD1P2
Read3	PKD1	PKD1
Read4	PKD1P4	NONE
Read5	PKD1P4	NONE
Read6	PKD1P1	NONE
Read7	PKD1P6	PKD1P6
Read8	PKD1P3	PKD1P3
Read9	PKD1	PKD1
Read10	PKD1P2	NONE
Read11	PKD1P2	PKD1P2
Read12	PKD1	PKD1
Read13	PKD1P4	NONE
Read14	PKD1P1	NONE
Read15	PKD1P5	PKD1P5
Read16	PKD1P5	NONE
Read17	PKD1P1	NONE
Read18	PKD1P6	PKD1P6
Read19	PKD1P6	NONE
Read20	PKD1P3	NONE
Read21	PKD1P3	NONE
Read22	PKD1P2	NONE
Read23	PKD1P4	NONE
Read24	PKD1P5	NONE
Read25	PKD1P6	PKD1P6
Read26	PKD1P5	NONE
Read27	PKD1P6	PKD1P6
Read28	PKD1P3	PKD1P3
Read29	PKD1P2	NONE
Read30	PKD1P1	NONE
Read31	PKD1P4	NONE
Read32	PKD1P1	NONE
Read33	PKD1P2	NONE
Read34	PKD1P2	NONE
Read35	PKD1P5	NONE
Read36	PKD1P4	NONE
Read37	PKD1P5	NONE
Read38	PKD1P2	NONE
Read39	PKD1P1	NONE
Read40	PKD1P6	PKD1P6
Read41	PKD1	PKD1
Read42	PKD1P6	PKD1P6
Read43	PKD1P3	PKD1P3
Read44	PKD1P2	PKD1P2
Read45	PKD1P5	NONE
Read46	PKD1P3	NONE
Read47	PKD1P5	NONE
Read48	PKD1P5	NONE
Read49	PKD1P2	PKD1P2
Read50	PKD1P2	NONE
Read51	PKD1P1	NONE
Read52	PKD1P1	NONE
Read53	PKD1P3	PKD1P3
Read54	PKD1	PKD1
Read55	PKD1P1	NONE
Read56	PKD1P3	NONE
Read57	PKD1	PKD1
Read58	PKD1	PKD1
Read59	PKD1	PKD1
Read60	PKD1	PKD1
Read61	PKD1P3	NONE
Read62	PKD1P3	PKD1P3
Read63	PKD1	PKD1
Read64	PKD1	PKD1
Read65	PKD1P4	NONE
Read66	PKD1P2	NONE
Read67	PKD1P1	NONE
Read68	PKD1	PKD1
Read69	PKD1P1	NONE
Read70	PKD1	PKD1
Read71	PKD1P1	PKD1P1
Read72	PKD1	PKD1
Read73	PKD1P6	PKD1P6
Read74	PKD1	PKD1
Read75	PKD1	PKD1
Read76	PKD1P6	PKD1P6
Read77	PKD1P1	NONE
Read78	PKD1P5	NONE
Read79	PKD1P6	NONE
Read80	PKD1P1	NONE
Read81	PKD1P6	PKD1P6
Read82	PKD1P4	NONE
Read83	PKD1	PKD1
Read84	PKD1P1	NONE
Read85	PKD1P3	NONE
Read86	PKD1P5	NONE
Read87	PKD1	PKD1
Read88	PKD1	PKD1
Read89	PKD1P1	NONE
Read90	PKD1P3	NONE
Read91	PKD1P3	PKD1P3
Read92	PKD1P6	NONE
Read93	PKD1P4	PKD1P4
Read94	PKD1P1	NONE
Read95	PKD1P6	NONE
Read96	PKD1P2	PKD1P2
Read97	PKD1P4	NONE
Read98	PKD1P4	NONE
Read99	PKD1	PKD1
Read100	PKD1P4	NONE
Read101	PKD1P4	PKD1P4
Read102	PKD1P6	PKD1P6
Read103	PKD1P6	PKD1P6
Read104	PKD1P6	PKD1P6
Read105	PKD1P4	NONE
Read106	PKD1P4	NONE
Read107	PKD1P4	NONE
Read108	PKD1	PKD1
Read109	PKD1P1	NONE
Read110	PKD1	NONE
Read111	PKD1P5	NONE
Read112	PKD1P1	NONE
Read113	PKD1P4	NONE
Read114	PKD1	PKD1
Read115	PKD1	PKD1
Read116	PKD1P3	PKD1P3
Read117	PKD1P2	PKD1P2
Read118	PKD1	PKD1
Read119	PKD1P6	PKD1P6
Read120	PKD1P1	PKD1P1
Read121	PKD1P5	NONE
Read122	PKD1P1	NONE
Read123	PKD1P4	NONE
Read124	PKD1P6	PKD1P6
Read125	PKD1P2	NONE
Read126	PKD1	PKD1
Read127	PKD1	PKD1
Read128	PKD1P2	NONE
Read129	PKD1P5	PKD1P5
Read130	PKD1P4	NONE
Read131	PKD1P5	PKD1P5
Read132	PKD1P5	PKD1P5
Read133	PKD1	NONE
Read134	PKD1P6	PKD1P6
Read135	PKD1P6	PKD1P6
Read136	PKD1P1	NONE
Read137	PKD1P4	NONE
Read138	PKD1	PKD1
Read139	PKD1P3	NONE
Read140	PKD1P4	NONE
Read141	PKD1P4	NONE
Read142	PKD1P4	NONE
Read143	PKD1P6	PKD1P6
Read144	PKD1P6	PKD1P6
Read145	PKD1P3	PKD1P3
Read146	PKD1	PKD1
Read147	PKD1P2	PKD1P2
Read148	PKD1P5	PKD1P5
Read149	PKD1P4	NONE
Read150	PKD1P2	NONE
Read151	PKD1P3	NONE
Read152	PKD1P1	NONE
Read153	PKD1P4	PKD1P4
Read154	PKD1P1	NONE
Read155	PKD1P6	NONE
Read156	PKD1P5	NONE
Read157	PKD1P5	NONE
Read158	PKD1P2	NONE
Read159	PKD1	PKD1
Read160	PKD1P4	PKD1P4
Read161	PKD1P6	NONE
Read162	PKD1P4	NONE
Read163	PKD1P3	NONE
Read164	PKD1P2	PKD1P2
Read165	PKD1P2	NONE
Read166	PKD1P3	PKD1P3
Read167	PKD1P6	NONE
Read168	PKD1	PKD1
Read169	PKD1P2	NONE
Read170	PKD1P2	NONE
Read171	PKD1P6	PKD1P6
Read172	PKD1	PKD1
Read173	PKD1	PKD1
Read174	PKD1P4	NONE
Read175	PKD1P5	NONE
Read176	PKD1P5	NONE
Read177	PKD1P6	PKD1P6
Read178	PKD1P4	NONE
Read179	PKD1P1	PKD1P1
Read180	PKD1P2	PKD1P2
Read181	PKD1P6	PKD1P6
Read182	PKD1P2	NONE
Read183	PKD1P5	PKD1P5
Read184	PKD1P6	PKD1P6
Read185	PKD1P2	NONE
Read186	PKD1P1	NONE
Read187	PKD1P3	NONE
Read188	PKD1P3	NONE
Read189	PKD1P3	PKD1P3
Read190	PKD1P1	PKD1P1
Read191	PKD1P3	PKD1P3
Read192	PKD1P5	NONE
Read193	PKD1P2	NONE
Read194	PKD1P3	NONE
Read195	PKD1	PKD1
Read196	PKD1P5	NONE
Read197	PKD1P2	NONE
Read198	PKD1P2	PKD1P2
Read199	PKD1P2	NONE
Read200	PKD1	PKD1
Read201	PKD1P3	NONE
Read202	PKD1	PKD1
Read203	PKD1P4	NONE
Read204	PKD1P2	PKD1P2
Read205	PKD1P6	PKD1P6
Read206	PKD1P2	NONE
Read207	PKD1P5	NONE
Read208	PKD1P6	PKD1P6
Read209	PKD1	PKD1
Read210	PKD1P4	NONE
Read211	PKD1P5	NONE
Read212	PKD1P1	NONE
Read213	PKD1P2	NONE
Read214	PKD1	PKD1
Read215	PKD1P5	NONE
Read216	PKD1P4	NONE
Read217	PKD1P3	NONE
Read218	PKD1P6	PKD1P6
Read219	PKD1P4	NONE
Read220	PKD1P5	NONE
Read221	PKD1P1	PKD1P1
Read222	PKD1P3	PKD1P3
Read223	PKD1P3	NONE
Read224	PKD1P2	PKD1P2
Read225	PKD1P5	NONE
Read226	PKD1P5	PKD1P5
Read227	PKD1P1	NONE
Read228	PKD1P4	NONE
Read229	PKD1P1	PKD1P1
Read230	PKD1P4	NONE
Read231	PKD1P4	NONE
Read232	PKD1P3	PKD1P3
Read233	PKD1P4	NONE
Read234	PKD1P6	PKD1P6
Read235	PKD1P6	PKD1P6
Read236	PKD1P2	NONE
Read237	PKD1	PKD1
Read238	PKD1	PKD1
Read239	PKD1	PKD1
Read240	PKD1P3	PKD1P3
Read241	PKD1	PKD1
Read242	PKD1P4	PKD1P4
Read243	PKD1P5	NONE
Read244	PKD1P5	NONE
Read245	PKD1	PKD1
Read246	PKD1P6	PKD1P6
Read247	PKD1P2	NONE
Read248	PKD1P2	NONE
Read249	PKD1P2	NONE
Read250	PKD1P2	NONE
Read251	PKD1P1	NONE
Read252	PKD1P6	PKD1P6
Read253	PKD1P2	PKD1P2
Read254	PKD1P5	NONE
Read255	PKD1P5	NONE
Read256	PKD1P4	NONE
Read257	PKD1P6	PKD1P6
Read258	PKD1P2	NONE
Read259	PKD1P3	NONE
Read260	PKD1P1	PKD1P1
Read261	PKD1P1	NONE
Read262	PKD1P2	NONE
Read263	PKD1	PKD1
Read264	PKD1	PKD1
Read265	PKD1P5	PKD1P5
Read266	PKD1P5	NONE
Read267	PKD1P2	NONE
Read268	PKD1P1	NONE
Read269	PKD1	PKD1
Read270	PKD1	PKD1
Read271	PKD1P1	NONE
Read272	PKD1P1	NONE
Read273	PKD1	PKD1
Read274	PKD1P1	NONE
Read275	PKD1	PKD1
Read276	PKD1P3	NONE
Read277	PKD1	PKD1
Read278	PKD1P5	NONE
Read279	PKD1P4	NONE
Read280	PKD1P1	NONE
Read281	PKD1P5	NONE
Read282	PKD1P5	PKD1P5
Read283	PKD1P3	NONE
Read284	PKD1	PKD1
Read285	PKD1P6	PKD1P6
Read286	PKD1P4	NONE
Read287	PKD1P6	PKD1P6
Read288	PKD1P6	PKD1P6
Read289	PKD1	PKD1
Read290	PKD1P2	NONE
Read291	PKD1P4	PKD1P4
Read292	PKD1	PKD1
Read293	PKD1P4	NONE
Read294	PKD1	PKD1
Read295	PKD1P6	PKD1P6
Read296	PKD1P6	PKD1P6
Read297	PKD1P6	NONE
Read298	PKD1P1	NONE
Read299	PKD1P1	NONE
Read300	PKD1P3	NONE
Read301	PKD1	PKD1
Read302	PKD1P4	NONE
Read303	PKD1P5	NONE
Read304	PKD1P2	NONE
Read305	PKD1P6	NONE
Read306	PKD1	PKD1
Read307	PKD1P1	NONE
Read308	PKD1	PKD1
Read309	PKD1P4	NONE
Read310	PKD1P2	NONE
